date,candle_begin_time,daily_return,cumulative_return,,
2021/4/9,2021/4/9,0.013161036,0.766238302,,
2021/4/10,2021/4/10,0.024239861,0.809051673,,
2021/4/11,2021/4/11,0.011425608,0.829721188,,
2021/4/12,2021/4/12,0.014044525,0.855418753,,
2021/4/13,2021/4/13,0.018354157,0.8894734,,
2021/4/14,2021/4/14,0.035834554,0.957181836,,
2021/4/15,2021/4/15,0.005631398,0.968203507,,
2021/4/16,2021/4/16,0.023540632,1.01453626,,
2021/4/17,2021/4/17,-0.020359445,0.973521421,,
2021/4/18,2021/4/18,-0.016650918,0.940660478,,
2021/4/19,2021/4/19,-0.008379248,0.924399203,,
2021/4/20,2021/4/20,0.004365841,0.932800824,,
2021/4/21,2021/4/21,-0.004691387,0.923733307,,
2021/4/22,2021/4/22,0.013992748,0.950651623,,
2021/4/23,2021/4/23,-0.01418658,0.922978548,,
2021/4/24,2021/4/24,-0.002320089,0.918517067,,
2021/4/25,2021/4/25,-0.000110363,0.918305333,,
2021/4/26,2021/4/26,0.006797232,0.9313445,,
2021/4/27,2021/4/27,0.012430776,0.955352611,,
2021/4/28,2021/4/28,-0.00301456,0.949458083,,
2021/4/29,2021/4/29,0.009616515,0.968205075,,
2021/4/30,2021/4/30,-0.005920264,0.956552782,,
2021/5/1,2021/5/1,-0.006471301,0.94389134,,
2021/5/2,2021/5/2,-0.01129482,0.921935436,,
2021/5/3,2021/5/3,0.029173461,0.978004944,,
2021/5/4,2021/5/4,0.017475743,1.01257205,,
2021/5/5,2021/5/5,-0.001020989,1.010517237,,
2021/5/6,2021/5/6,0.02620689,1.063206641,,
2021/5/7,2021/5/7,-0.005650701,1.051548078,,
2021/5/8,2021/5/8,-0.012096335,1.026731865,,
2021/5/9,2021/5/9,-0.007499194,1.011533009,,
2021/5/10,2021/5/10,0.019107598,1.049968573,,
2021/5/11,2021/5/11,0.007290019,1.064912883,,
2021/5/12,2021/5/12,0.039434009,1.146340675,,
2021/5/13,2021/5/13,-0.03223623,1.077150745,,
2021/5/14,2021/5/14,0.006191594,1.09001162,,
2021/5/15,2021/5/15,0.020097922,1.13201651,,
2021/5/16,2021/5/16,-0.011130034,1.108287094,,
2021/5/17,2021/5/17,0.002305851,1.113148491,,
2021/5/18,2021/5/18,0.025087415,1.166161924,,
2021/5/19,2021/5/19,0.004866685,1.176703952,,
2021/5/20,2021/5/20,-0.004392126,1.167143592,,
2021/5/21,2021/5/21,-0.015415019,1.133737033,,
2021/5/22,2021/5/22,0.015698078,1.167232604,,
2021/5/23,2021/5/23,-0.000285291,1.166614311,,
2021/5/24,2021/5/24,-0.013288961,1.137822259,,
2021/5/25,2021/5/25,0.018473824,1.177316011,,
2021/5/26,2021/5/26,0.033949214,1.251234178,,
2021/5/27,2021/5/27,-0.010087295,1.228525315,,
2021/5/28,2021/5/28,-0.00730649,1.212242616,,
2021/5/29,2021/5/29,-0.001416236,1.209109558,,
2021/5/30,2021/5/30,-0.00227153,1.2040915,,
2021/5/31,2021/5/31,0.003358632,1.211494232,,
2021/6/1,2021/6/1,-0.004195414,1.202216099,,
2021/6/2,2021/6/2,0.004332856,1.211757983,,
2021/6/3,2021/6/3,-0.010782545,1.187909604,,
2021/6/4,2021/6/4,-0.005219207,1.176490451,,
2021/6/5,2021/6/5,0.001450661,1.179647801,,
2021/6/6,2021/6/6,0.001095977,1.182036645,,
2021/6/7,2021/6/7,0.012463201,1.209231806,,
2021/6/8,2021/6/8,-0.0004893,1.208150828,,
2021/6/9,2021/6/9,0.012824993,1.236470347,,
2021/6/10,2021/6/10,0.0155654,1.271281903,,
2021/6/11,2021/6/11,0.041026354,1.364464318,,
2021/6/12,2021/6/12,-0.018472239,1.320787369,,
